"","title","gross.title"
"93","Albert",37430
"94","Albüm",12261
"95","Alcaldessa",12799
"96","Aleksandr Nevskiy (2016 re-issue)",2226
"97","Alemde 1 Gece",6716
"98","Ali Kundilli 2",1133086
"99","Alice Through the Looking Glass",55465041
"100","All Cats are Grey (Tous les chats sont gris)",41340
"101","All Roads Lead to Rome",374752
"102","All the Beauty (Alt det vakre)",7519
"103","Allied",25925525
"104","Almost Christmas",145516
"105","Almost Holy",2815
"106","Alone in Berlin",442011
"107","Aloys",523
"108","Altamira",1341205
"109","Alvin and the Chipmunks The Road Chip",63236358
"110","Amanda Knox",397
"111","Ambarsariya",148157
"112","America Wild: National Parks",2175
"113","American Honey",1019868
"114","American Pastoral",1206804
"115","American Ultra",262131
"116","Amis Publics N°1",4222361
"117","Ammar 2: Cin Istilasi",238902
"118","Amor de mis Amores",2293
"119","An",444417
"120","An Outpost of Progress (Posto-Avançado do Progresso)",5746
"121","And So It Goes",101976
"122","Andel Páne 2",4940457
"123","André Rieu's 2016 Maastricht Concert",1987535
"124","Andrei Rublev (2016 re-release)",21302
"125","Angry Indian Goddesses",278341
"126","Anguish",467
"127","Ani ve snu!",6364
"128","Animal Kingdom: Let’s Go Ape",109781
"129","Ankara Yazi: Veda Mektubu",298646
"130","Annemin Yarasi (My Mother's Wound)",1749704
"131","Anomalisa",844813
"132","Anomalous",8462
"133","Ant-Man",183341
"134","Ant Boy",378
"135","Anthropoid",1983383
"136","Antigang",2693
"137","Ants on a Shrimp",64237
"138","Anuraga Karikkin Vellam",11405
"139","Apnée",91515
"140","Apprentice",52991
"141","Aquarius",680006
"142","Aqui, em Lisboa: Episódios da Vida da Cidade",658
"143","Arabian Nights: Volume 1 - The Restless One",6487
"144","Arabian Nights: Volume 2 - The Desolate One",3358
"145","Arabian Nights: Volume 3 - The Enchanted One",2179
"146","Arama Motoru",5215
"147","Aranmanai 2",23980
"148","Arctic Heart (Le secret des banquises)",57993
"149","Ardaas",103705
"150","Arès",97473
"151","Army of One",16297
"152","Around China with a Movie Camera",1084
"153","Arrête ton cinéma!",5033
"154","Arrêtez-moi là",213835
"155","Arrival",37804154
"156","As I Open My Eyes",19732
"157","As uz Tave pakalbesiu",15289
"158","Asik",6853
"159","Assassin's Creed",41472869
"160","Assolo",1760138
"161","Astérix: Le domaine des dieux",73012
"162","Astral",59048
"163","At Any Price",510
"164","Ates",35620
"165","Atlit",31053
"166","Attacking the Devil: Harold Evans and the Last Nazi War Crime",6481
"167","Au nom de ma fille",1025871
"168","Auf Einmal (All of a Sudden)",8341
"169","Aumingja Ísland",260
"170","Aus dem Nichts",10117
"171","Author: The JT LeRoy Story",10575
"172","Avis de mistral",62677
"173","Avril et le monde truqué (April and the Extraordinary World)",750
"174","Awake: The Life of Yogananda",104427
"175","Axel: The Biggest Little Hero",4501
"176","Axilas",17759
"177","Azazil 2: Büyü",296880
"178","Azem 3: Cin Tohumu",282496
"179","Azem 4: Alacakaranlik",247988
"180","Azhar",85648
"181","B.O.K.; Bi O Kalmisti",7366
"182","Baaghi: A Rebel For Love",151189
"183","Baar Baar Dekho",214961
"184","Baba Mirasi",36149
"185","Babaannem",4864
"186","Babalarin Babasi",114540
"187","Babamin Kanatlari",49241
"188","Babu Bangaram",1132
"189","Babysitting 2 (All Gone South)",86758
"190","Bacalaureat (Graduation)",1612981
"191","Bachaana",7149
"192","Back to Mom's (Retour chez ma mère)",17095055
"193","Back to the Jurassic",61197
"194","Backtrack",74223
"195","Bad Moms",36114721
"196","Bad Santa 2",4338136
"197","Baden Baden",61390
"198","Bajirao Mastani",7305
"199","Ballerina",18128291
"200","Bambukat",54290
"201","Bana Git De",1346
"202","Banat (Il Viaggio)",1074
